example,word_position,role,word_hex_40bit,l1_counter,type,bcid,chip_id,status,hits,crc_field,event_crc_check
61,122,Next Header,0x3C5C118B6C,70,0,2924,,,,,PASS
62,122,Header,0x3C5C118B6C,70,0,2924,,,,,PASS
62,123,Trailer,0x7FFF8000A9,,,,131070,0,0,0xA9,PASS
62,124,Next Header,0x3C5C11CBD2,71,0,3026,,,,,PASS
63,124,Header,0x3C5C11CBD2,71,0,3026,,,,,PASS
63,125,Trailer,0x7FFF80009E,,,,131070,0,0,0x9E,PASS
63,126,Next Header,0x3C5C120C38,72,0,3128,,,,,PASS
64,126,Header,0x3C5C120C38,72,0,3128,,,,,PASS
64,127,Trailer,0x7FFF800045,,,,131070,0,0,0x45,PASS
64,128,Next Header,0x3C5C124C9E,73,0,3230,,,,,PASS
65,128,Header,0x3C5C124C9E,73,0,3230,,,,,PASS
65,129,Trailer,0x7FFF800050,,,,131070,0,0,0x50,PASS
65,130,Next Header,0x3C5C128D04,74,0,3332,,,,,PASS
66,130,Header,0x3C5C128D04,74,0,3332,,,,,PASS
66,131,Trailer,0x7FFF80003E,,,,131070,0,0,0x3E,PASS
66,132,Next Header,0x3C5C12CD6A,75,0,3434,,,,,PASS
67,132,Header,0x3C5C12CD6A,75,0,3434,,,,,PASS
67,133,Trailer,0x7FFF8000EF,,,,131070,0,0,0xEF,PASS
67,134,Next Header,0x3C5C130DD0,76,0,3536,,,,,PASS
68,134,Header,0x3C5C130DD0,76,0,3536,,,,,PASS
68,135,Trailer,0x7FFF8000BC,,,,131070,0,0,0xBC,PASS
68,136,Next Header,0x3C5C13404A,77,0,74,,,,,PASS
69,136,Header,0x3C5C13404A,77,0,74,,,,,PASS
69,137,Trailer,0x7FFF800029,,,,131070,0,0,0x29,PASS
69,138,Next Header,0x3C5C1380B0,78,0,176,,,,,PASS
70,138,Header,0x3C5C1380B0,78,0,176,,,,,PASS
70,139,Trailer,0x7FFF80009B,,,,131070,0,0,0x9B,PASS
70,140,Next Header,0x3C5C13C116,79,0,278,,,,,PASS
71,140,Header,0x3C5C13C116,79,0,278,,,,,PASS
71,141,Trailer,0x7FFF8000DA,,,,131070,0,0,0xDA,PASS
71,142,Next Header,0x3C5C14017C,80,0,380,,,,,PASS
72,142,Header,0x3C5C14017C,80,0,380,,,,,PASS
72,143,Trailer,0x7FFF800009,,,,131070,0,0,0x09,PASS
72,144,Next Header,0x3C5C1441E2,81,0,482,,,,,PASS
73,144,Header,0x3C5C1441E2,81,0,482,,,,,PASS
73,145,Trailer,0x7FFF8000A3,,,,131070,0,0,0xA3,PASS
73,146,Next Header,0x3C5C148248,82,0,584,,,,,PASS
74,146,Header,0x3C5C148248,82,0,584,,,,,PASS
74,147,Trailer,0x7FFF800021,,,,131070,0,0,0x21,PASS
74,148,Next Header,0x3C5C14C2AE,83,0,686,,,,,PASS
75,148,Header,0x3C5C14C2AE,83,0,686,,,,,PASS
75,149,Trailer,0x7FFF800021,,,,131070,0,0,0x21,PASS
75,150,Next Header,0x3C5C150314,84,0,788,,,,,PASS
